Country,Total Goals
Algeria,13
Angola,1
Argentina,135
Australia,13
Austria,40
Belgium,65
Bolivia,1
Bosnia Herz,4
Brazil,228
Bulgaria,22
Cameroon,18
Chile,40
Colombia,30
Costa Rica,18
Cote dIvoire,13
Croatia,31
Cuba,5
Czech,47
Denmark,30
Ecuador,12
Egypt,5
El Salvador,1
England,89
France,115
Germany,226
Ghana,13
Greece,5
Haiti,2
Honduras,3
Hungary,86
Iceland,2
Iran,8
Iraq,9
Ireland,10
Israel,1
Italy,123
Jamaica,3
Japan,20
Kuwait,2
Mexico,60
Morocco,14
Netherlands,84
New Zealand,4
Nigeria,22
North Korea,6
Northern Ireland,13
Norway,6
Panama,1
Paraguay,28
Peru,21
Poland,46
Portugal,46
Romania,30
Russia,23
Saudi Arabia,11
Scotland,23
Senegal,10
Serbia,6
Slovakia,5
Slovenia,10
South Africa,11
South Korea,33
Spain,97
Sweden,78
Switzerland,50
Togo,1
Tunisia,13
Turkey,20
UAE,2
Ukraine,5
Uruguay,86
USA,34
USSR,52
Wales,4
Yugoslavia,61
